Region,DEPARTEMENT,NOM,Mandataire,ADRESSE,TELEPHONE,Mail
Centre-Val de Loire,18,Espace VAE 18,CIBC,"CIBC chez la Chambre des Métiers et de l’Artisanat Cher
15 Rue Henri Dunant, 
18000 Bourges",02 48 65 46 83,contact@cibc18.fr
Centre-Val de Loire,28,Espace VAE 28,Les 2 Rives,"Les 2 Rives chez ADECCO CHARTRES 
8 All. Prométhée, 28000 Chartres",06 64 66 53 24,marina.danesin@les2rives.fr
Centre-Val de Loire,36,Espace VAE 36,Les 2 Rives,"Les 2 Rives chez ADECCO CHATEAUROUX 
388 av de la Châtre 36000 CHATEAUROUX",06 64 66 53 24,marina.danesin@les2rives.fr
Centre-Val de Loire,37,Espace VAE 37,Chambre des Métiers et de l'Artisant Centre-Val de Loire,36-42 route de Saint Avertin 37204 TOURS,02 47 25 24 85,espacevae@cma-cvl.fr
Centre-Val de Loire,41,Espace VAE 41,Chambre des Métiers et de l'Artisant Centre-Val de Loire,"16 rue de la Vallée Maillard 
41000 BLOIS",02 47 25 24 85,espacevae@cma-cvl.fr
Centre-Val de Loire,45,Espace VAE 45,Transitions Pro Centre-Val de Loire,931 rue de Bourges 45160 OLIVET,02 38 49 35 35,v.odion@transitionspro-cvl.fr
Normandie,14,Point Relais Conseil,Trajectio,"52 rue saint Gabriel
14000 CAEN",02 31 47 40 40,prc.vae14@trajectio.fr
Normandie,14,Espace Vitamines,Trajectio,"ZA de Nonant
Rue des Longues Haies
14400 NONANT",02 31 47 40 40,prc.vae14@trajectio.fr
Normandie,14,Point Relais Conseil,Trajectio,"29 rue des Arts
14100 LISIEUX",02 31 47 40 40,prc.vae14@trajectio.fr
Normandie,14,Point Relais Conseil,Trajectio,"4 rue Alexandre Dubourg
14600 HONFLEUR",02 31 47 40 40,prc.vae14@trajectio.fr
Normandie,14,"Lycée Jean Mermoz
GRETA Portes Normandes
Point Relais Conseil",IFPRA - GIP FCIP de Normandie,"1 rue Georges Fauvel
14500 VIRE",02 31 66 25 00,prc-vire@ac-caen.fr
Normandie,27,"Association Acces
Point Relais Conseil",CIBC Emploi Conseil,"22 rue de la Charentonne
27300 BERNAY",02 76 55 57 13,conseilvae@cibc-normandie.fr
Normandie,27,Point Relais Conseil,CIBC Emploi Conseil,"52 rue Viuctor Hugo
27000 EVREUX",02 76 55 57 13,conseilvae@cibc-normandie.fr
Normandie,27,"Annexe mairie
Point Relais Conseil",Mission Locale Louviers Val-de-Reuil,"Rue des Oiseaux
27700 LES ANDELYS",03 32 59 76 90,vae@mlv2al.fr
Normandie,27,Point Relais Conseil,Mission Locale Louviers Val-de-Reuil,"5 rue sain Louis
27400 LOUVIERS",02 32 25 06 72,vae@mlv2al.fr
Normandie,27,"Pôle de Santé Libéral Ambulatoire
Point Relais Conseil",CIBC Emploi Conseil,"57 bis route de Lisieux
27500 PONT-AUDEMER",02 76 55 57 13,conseilvae@cibc-normandie.fr
Normandie,27,Point Relais Conseil,Mission Locale Louviers Val-de-Reuil,"4 rue Septentrion
27100 VAL DE REUIL",02 32 59 76 90,vae@mlv2al.fr
Normandie,27,"Centre Social Simone Veil
Point Relais Conseil",Mission Locale Louviers Val-de-Reuil,"15 boulevard Aylmer
Les Valmeux
27200 VERNON",02 32 59 76 90,vae@mlv2al.fr
Normandie,50,"Centre d'Information et d'Orientation (CIO)
Point Relais Conseil",IFPRA - GIP FCIP de Normandie,"1 rue saint Martin
50300 AVRANCHES",02 33 58 72 66,prc-avranches@ac-normandie.fr
Normandie,50,Point Relais Conseil,GRETA Côtes Normandes,"11 boulevard de Verdun
50500 CARENTAN-LES-MARAIS",02 33 05 62 08,greta-st-lo@ac-caen.fr
Normandie,50,Point Relais Conseil,MEF - Association Maison Emploi et Formation Cotentin,"1 rue d'Anjou
50130 CHERBOURG-EN-COTENTIN",02 33 01 64 64,mif@mef-cotentin.com
Normandie,50,"Centre de Formation GRETA Côtes Normandes
Point Relais Conseil",IFPRA - GIP FCIP de Normandie,"18 avenue de la République
50200 COUTANCES",02 33 19 05 40,prc-coutances@ac-caen.fr
Normandie,50,"Lycée Julliot de la Morandière
Point Relais Conseil",GRETA Côtes Normandes,"Rue des Lycées
BP 639
50406 GRANVILLE CEDEX",02 33 91 10 28,prc-granville@ac-caen.fr
Normandie,50,Point Relais Conseil,IFPRA - GIP FCIP de Normandie,"242 rue de l'Exode
50000 SAINT-LO",02 33 05 62 08,greta-st-lo@ac-caen.fr
Normandie,50,"Espace Emploi Formation MEF/MSAP
Cœur Cotentin
Point Relais Conseil",MEF - Association Maison Emploi et Formation Cotentin,"22 rue de Poterie
50700 VALOGNES",02 33 40 33 71,mif@mef-cotentin.com
Normandie,61,Point Relais Conseil,Trajectio,"26 rue du Pont Neuf
61100 ALENCON",02 33 62 30 80,prc.vae61@trajectio.fr
Normandie,61,Point Relais Conseil,Trajectio,"1 rue de la Sente aux Bois
61200 ARGENTAN",02 33 62 30 80,prc.vae61@trajectio.fr
Normandie,61,Point Relais Conseil,Trajectio,"16 rue Jacques Durmeyer
61100 FLERS",02 33 62 30 80,prc.vae61@trajectio.fr
Normandie,61,Point Relais Conseil,Trajectio,"3 rue Jean-Baptiste Réveillon
61300 L'AIGLE",02 33 62 30 80,prc.vae61@trajectio.fr
Normandie,76,Point Relais Conseil,Mission Locale Dieppe Côte d'Albâtre,"8 avenue Normandie Sussex
BP 98
76203 DIEPPE",02 35 84 96 56,mldca@mldieppe.org
Normandie,76,Point Relais Conseil,Mission Locale de l'Agglomération d'Elbeuf,"25 rue Camille Randoing
76500 ELBEUF",02 32 96 44 30,prc.vae@ml-elbeuf.org
Normandie,76,Point Relais Conseil,Mission Locale Caux Austreberthe Vallée de Seine,"95 rue Jules Ferry
76400 FECAMP",02 35 95 01 43,prcvae-yvetot@mission-locale-csa.fr
Normandie,76,Point Relais Conseil,CIBC Emploi Conseil,"7 place Brévière
76440 FORGES-LES-EAUX",02 76 55 57 13,conseilvae@cibc-normandie.fr
Normandie,76,Point Relais Conseil,INFREP,"10 rue du Maréchal Delattre de Tassigny
76600 LE HAVRE",07 62 00 86 87,prcvae-lehavre@infrep.org
Normandie,76,Point Relais Conseil,Mission Locale Dieppe Côte d'Albâtre,"Rue de l'Ancienne Verrerie
76470 LE TREPORT",02 35 86 88 59,mldca@mldieppe.org
Normandie,76,Point Relais Conseil,Mission Locale Pays de Caux Vallée de Seine Lillebonne,"Parc d'Activités du Manoir
Maison des Compétences
76170 LILLEBONNE",02 35 38 19 89,prc.vae@ml-lillebonnecauxseine.fr
Normandie,76,Point Relais Conseil,CIBC Emploi Conseil,"Rouen rive droite : 
Immeuble Vauban
Bâtiment A
4-20 passage de la Luciline
76000 ROUEN",02 76 55 57 13,conseilvae@cibc-normandie.fr
Normandie,76,Point Relais Conseil,INFREP,"Rouen rive gauche : 
108 avenue de Bretagne
Immeuble Le Rollon
76100 ROUEN",02 35 62 60 27,prcvae-rouen@infrep.org
Normandie,76,Point Relais Conseil,Mission Locale Caux Austreberthe Vallée de Seine,"20 rue Carnot
76190 YVETOT",02 35 95 01 43,prcvae-yvetot@mission-locale-csa.fr
Île-de-France,75,Centre conseil VAE 75 - Paris 4ème,ASCOVA,6 rue Beaubourg 75004 PARIS,01 42 71 97 00,c.robin@ascova.fr
Île-de-France,75,Centre conseil VAE 75 - Point relais de Paris 13ème,ASCOVA,104 avenue de France 75013 PARIS,01 42 71 97 00,c.robin@ascova.fr
Île-de-France,75,Centre conseil VAE 75 - Point relais de Paris 14ème,ASCOVA,33 avenue du Maine 75014 PARIS,01 42 71 97 00,c.robin@ascova.fr
Île-de-France,75,Centre conseil VAE 75 - Point relais de Paris 19ème,ASCOVA,118 avenue Jean Jaurès 75019 PARIS,01 42 71 97 00,c.robin@ascova.fr
Île-de-France,75,Centre conseil VAE 75 - Point relais de Paris 8ème,ASCOVA,57 rue d'Amsterdam 75008 PARIS,01 42 71 97 00,c.robin@ascova.fr
Île-de-France,77,Centre conseil VAE 77 - Melun,COS,51 avenue Thiers 77000 MELUN,01 64 10 26 31,cmercier@fondationcos.org
Île-de-France,77,Centre conseil VAE 77 - Point relais de Meaux,COS,12 boulevard Jean-Rose 77105 MEAUX,01 64 10 26 31,cmercier@fondationcos.org
Île-de-France,77,Centre conseil VAE 77 - Point relais de Nanteau-sur-Lunain,COS,2 Rue des Arches 77710 NANTEAU SUR LUNAIN,01 64 10 26 31,cmercier@fondationcos.org
Île-de-France,77,Centre conseil VAE 77 - Point relais de Provins,COS,18 Place Saint-Ayoul 77160 PROVINS,01 64 10 26 31,cmercier@fondationcos.org
Île-de-France,77,Centre conseil VAE 77 - Point relais de Torcy,COS,31 avenue Jean Moulin 77200 TORCY,01 64 10 26 31,cmercier@fondationcos.org
Île-de-France,78,Centre conseil VAE 78 - Montigny-le-Bretonneux,ASCOVA,43 avenue du centre 78180 MONTIGNY LE BRETONNEUX,01 30 12 16 30,c.robin@ascova.fr
Île-de-France,78,Centre conseil VAE 78 - Point relais de Chanteloup-les-Vignes,ASCOVA,2 Mail du Coteau 78570 CHANTELOUP LES VIGNES,01 30 12 16 30,c.robin@ascova.fr
Île-de-France,78,Centre conseil VAE 78 - Point relais de Mantes,ASCOVA,1401 avenue de la Grande Halle 78000 BUCHELAY,01 30 12 16 30,c.robin@ascova.fr
Île-de-France,78,Centre conseil VAE 78 - Point relais de Trappes,ASCOVA,1 rue des Hêtres 78190 TRAPPES,01 30 12 16 30,c.robin@ascova.fr
Île-de-France,91,Centre conseil VAE 91 - Evry,DABM,8 rue Montespan 91000 EVRY,01 60 77 50 24,ana.courtial@ac-versailles.fr
Île-de-France,91,Centre conseil VAE 91 - Point relais de Briis-sous-Forges,DABM,615 rue Fontaine de Ville 91640 BRIIS SOUS FORGES,01 60 77 50 24,ana.courtial@ac-versailles.fr
Île-de-France,91,Centre conseil VAE 91 - Point relais de Longjumeau,DABM,156 rue du Président François Mitterand 91160 LONGJUMEAU,01 60 77 50 24,ana.courtial@ac-versailles.fr
Île-de-France,91,Centre conseil VAE 91 - Point relais de Savigny-sur-Orge,DABM,9 Place Davout 91600 SAVIGNY SUR ORGE,01 60 77 50 24,ana.courtial@ac-versailles.fr
Île-de-France,91,Centre conseil VAE 91 - Point relais des Ulis,DABM,1 rue de l'Aube 91940 LES ULIS,01 60 77 50 24,ana.courtial@ac-versailles.fr
Île-de-France,91,Centre conseil VAE 91 - Point relais d'Etampes,DABM,4 avenue Geoffroy Saint Hilaire 91150 ETAMPES,01 60 77 50 24,ana.courtial@ac-versailles.fr
